commodity,date,price
maize (white),2021-07-01,1038.2
maize (white),2021-08-01,982.3809523809524
maize (white),2021-09-01,1116.6315789473683
maize (white),2021-10-01,1082.7058823529412
maize (white),2021-11-01,1163.2105263157894
maize (white),2021-12-01,1084.6470588235295
sorghum,2017-01-01,1704.1666666666667
sorghum,2017-02-01,1500.0
sorghum,2017-03-01,1521.6
sorghum,2017-04-01,1916.6666666666667
sorghum,2017-05-01,2105.6666666666665
sorghum,2017-06-01,1550.0
sorghum,2017-07-01,2137.6666666666665
sorghum,2017-08-01,2080.0
sorghum,2017-09-01,2016.6666666666667
sorghum,2017-11-01,1813.4
sorghum,2017-12-01,1225.0
sorghum,2018-01-01,1940.0
sorghum,2018-02-01,2100.0
sorghum,2018-03-01,2500.0
sorghum,2018-04-01,1900.0
sorghum,2018-05-01,1433.3333333333333
sorghum,2018-06-01,1850.0
sorghum,2018-10-01,976.6
sorghum,2018-11-01,1040.4
sorghum,2018-12-01,879.8
sorghum,2019-01-01,960.5555555555555
sorghum,2019-02-01,1098.9
sorghum,2019-03-01,1028.0
sorghum,2019-04-01,1069.05
sorghum,2019-05-01,1303.6736363636364
sorghum,2019-06-01,1533.37
sorghum,2019-07-01,1326.638888888889
sorghum,2019-08-01,1300.7216666666666
sorghum,2019-09-01,1422.3814285714286
sorghum,2019-10-01,990.1785714285714
sorghum,2019-11-01,1186.1116666666667
sorghum,2019-12-01,1241.9275
sorghum,2020-01-01,1056.9444444444443
sorghum,2020-02-01,1260.9375
sorghum,2020-04-01,1165.4845454545455
sorghum,2020-05-01,1193.77125
sorghum,2020-06-01,1268.375
sorghum,2020-07-01,1273.375
sorghum,2020-08-01,1215.0
sorghum,2020-09-01,1277.6666666666667
sorghum,2020-10-01,1457.142857142857
sorghum,2020-11-01,1602.6
sorghum,2020-12-01,1477.0555555555557
sorghum,2021-01-01,1541.8125
sorghum,2021-02-01,1170.375
sorghum,2021-03-01,1278.923076923077
sorghum,2021-04-01,1261.0
sorghum,2021-05-01,1201.7777777777778
sorghum,2021-06-01,1326.4375
sorghum,2021-07-01,1282.1764705882354
sorghum,2021-08-01,1260.8235294117646
sorghum,2021-09-01,1446.25
sorghum,2021-10-01,1325.8125
sorghum,2021-11-01,1398.642857142857
sorghum,2021-12-01,1248.1333333333334
